fecha,prediccion
2023-12-10,64268.074
2023-12-11,36312.906
2023-12-12,21231.16
2023-12-13,21235.857
2023-12-14,23780.799
2023-12-15,21146.738
2023-12-16,18295.344
2023-12-17,17569.887
2023-12-18,11743.286
2023-12-19,10054.21
2023-12-20,11698.817
2023-12-21,13197.079
2023-12-22,13304.149
2023-12-23,14905.248
2023-12-24,16042.002
2023-12-25,12929.025
2023-12-26,10876.575
2023-12-27,11740.484
2023-12-28,13363.121
2023-12-29,15996.955
2023-12-30,16899.045
2023-12-31,17686.988
2024-01-01,18343.543
2024-01-02,20482.965
2024-01-03,22050.617
2024-01-04,22644.605
2024-01-05,22644.605
2024-01-06,21684.736
2024-01-07,20735.404
2024-01-08,17237.5
